cursor,block,recorded,combo_index,selection_index,A,W,EW_ratio,D,movement_time_s,errors
bubble,2,True,15,3,256,16,2,1,1.3257,0
bubble,2,True,15,4,512,16,2,1,1.0693,0
bubble,2,True,15,5,768,16,2,1,1.081,0
bubble,2,True,15,6,256,16,2,1,1.3594,0
bubble,2,True,15,7,768,16,2,1,1.3723,0
bubble,2,True,15,8,768,16,2,1,1.1636,0
bubble,2,True,16,0,768,8,1.33,1,1.6093,1
bubble,2,True,16,1,512,8,1.33,1,2.2082,0
bubble,2,True,16,2,768,8,1.33,1,1.785,0
bubble,2,True,16,3,256,8,1.33,1,1.7721,0
bubble,2,True,16,4,768,8,1.33,1,1.2924,0
bubble,2,True,16,5,256,8,1.33,1,1.187,0
bubble,2,True,16,6,256,8,1.33,1,1.3784,0
bubble,2,True,16,7,512,8,1.33,1,1.3901,0
bubble,2,True,16,8,512,8,1.33,1,1.6702,1
bubble,2,True,17,0,256,16,2,0.5,0.8741,0
bubble,2,True,17,1,256,16,2,0.5,0.8099,0
bubble,2,True,17,2,768,16,2,0.5,1.084,0
bubble,2,True,17,3,512,16,2,0.5,1.1685,1
bubble,2,True,17,4,512,16,2,0.5,1.1247,0
bubble,2,True,17,5,512,16,2,0.5,1.0076,0
bubble,2,True,17,6,768,16,2,0.5,0.7936,0
bubble,2,True,17,7,256,16,2,0.5,0.857,0
bubble,2,True,17,8,768,16,2,0.5,0.8237,0
bubble,2,True,18,0,768,24,3,1,1.0063,0
bubble,2,True,18,1,512,24,3,1,0.7495,0
bubble,2,True,18,2,256,24,3,1,0.5783,0
bubble,2,True,18,3,512,24,3,1,0.6787,0
bubble,2,True,18,4,256,24,3,1,1.0416,1
bubble,2,True,18,5,512,24,3,1,0.8037,0
bubble,2,True,18,6,768,24,3,1,1.0462,0
bubble,2,True,18,7,256,24,3,1,0.7401,0
bubble,2,True,18,8,768,24,3,1,1.0002,0
bubble,2,True,19,0,256,16,3,1,0.797,0
bubble,2,True,19,1,512,16,3,1,1.2254,1
bubble,2,True,19,2,512,16,3,1,1.1122,0
bubble,2,True,19,3,768,16,3,1,1.1678,0
bubble,2,True,19,4,512,16,3,1,1.0317,0
bubble,2,True,19,5,768,16,3,1,0.9604,0
bubble,2,True,19,6,768,16,3,1,0.9669,0
bubble,2,True,19,7,256,16,3,1,1.0962,0
bubble,2,True,19,8,256,16,3,1,0.7987,0
bubble,2,True,20,0,256,8,2,0,1.368,0
bubble,2,True,20,1,512,8,2,0,1.2194,0
bubble,2,True,20,2,768,8,2,0,1.2634,0
bubble,2,True,20,3,512,8,2,0,1.3083,0
bubble,2,True,20,4,768,8,2,0,0.9824,0
bubble,2,True,20,5,256,8,2,0,1.0089,0
bubble,2,True,20,6,768,8,2,0,1.3428,0
bubble,2,True,20,7,256,8,2,0,1.2681,0
bubble,2,True,20,8,512,8,2,0,1.0691,0
bubble,2,True,21,0,768,16,3,0.5,0.9032,0
bubble,2,True,21,1,256,16,3,0.5,0.7697,0
bubble,2,True,21,2,768,16,3,0.5,1.1011,0
bubble,2,True,21,3,512,16,3,0.5,0.8887,0
bubble,2,True,21,4,512,16,3,0.5,0.8625,0
bubble,2,True,21,5,512,16,3,0.5,0.9538,0
bubble,2,True,21,6,256,16,3,0.5,0.7959,0
bubble,2,True,21,7,768,16,3,0.5,1.0356,0
bubble,2,True,21,8,256,16,3,0.5,0.8657,0
bubble,2,True,22,0,768,16,2,0,1.0959,0
bubble,2,True,22,1,512,16,2,0,0.9828,0
bubble,2,True,22,2,256,16,2,0,0.9606,0
bubble,2,True,22,3,512,16,2,0,0.9693,0
bubble,2,True,22,4,768,16,2,0,1.1557,1
bubble,2,True,22,5,768,16,2,0,1.0377,0
bubble,2,True,22,6,512,16,2,0,1.0034,0
bubble,2,True,22,7,256,16,2,0,0.871,0
bubble,2,True,22,8,256,16,2,0,0.9492,0
bubble,2,True,23,0,512,16,1.33,1,1.1352,0
bubble,2,True,23,1,768,16,1.33,1,1.4897,1
bubble,2,True,23,2,256,16,1.33,1,1.0671,0
bubble,2,True,23,3,512,16,1.33,1,0.9399,0
bubble,2,True,23,4,512,16,1.33,1,1.0484,0
bubble,2,True,23,5,768,16,1.33,1,1.6619,2
bubble,2,True,23,6,256,16,1.33,1,1.1076,0
bubble,2,True,23,7,256,16,1.33,1,0.8964,0
bubble,2,True,23,8,768,16,1.33,1,1.3897,0
bubble,2,True,24,0,512,8,2,0.5,1.2148,0
bubble,2,True,24,1,768,8,2,0.5,1.5544,0
bubble,2,True,24,2,512,8,2,0.5,1.1872,0
bubble,2,True,24,3,768,8,2,0.5,1.8684,0
bubble,2,True,24,4,512,8,2,0.5,1.2769,0
bubble,2,True,24,5,256,8,2,0.5,1.3065,0
bubble,2,True,24,6,256,8,2,0.5,0.893,0
bubble,2,True,24,7,256,8,2,0.5,1.3614,1
bubble,2,True,24,8,768,8,2,0.5,1.4376,0
bubble,2,True,25,0,256,8,3,0.5,1.0851,0
bubble,2,True,25,1,768,8,3,0.5,0.9713,0
bubble,2,True,25,2,512,8,3,0.5,1.0347,0
bubble,2,True,25,3,256,8,3,0.5,0.954,0
bubble,2,True,25,4,768,8,3,0.5,0.9678,0
bubble,2,True,25,5,768,8,3,0.5,1.1805,0
bubble,2,True,25,6,512,8,3,0.5,0.9593,0
bubble,2,True,25,7,512,8,3,0.5,1.1927,0
bubble,2,True,25,8,256,8,3,0.5,0.8192,0
bubble,2,True,26,0,256,24,3,0.5,0.871,0
bubble,2,True,26,1,512,24,3,0.5,0.9807,0
bubble,2,True,26,2,256,24,3,0.5,0.601,0
bubble,2,True,26,3,768,24,3,0.5,0.9352,0
bubble,2,True,26,4,256,24,3,0.5,0.6928,0
bubble,2,True,26,5,768,24,3,0.5,1.1314,0
bubble,2,True,26,6,768,24,3,0.5,0.7772,0
bubble,2,True,26,7,512,24,3,0.5,0.8894,0
bubble,2,True,26,8,512,24,3,0.5,0.7442,0
